Date,MSFT,GOOGL,CVX,IBM,SBUX,MCD,AAPL,^FVX,^S&P500
2/1/2017,62.021183,823.210022,106.208405,169.536102,55.243378,122.880447,133.758713,1.88,2363.639893
3/1/2017,64.230675,829.559998,102.335571,165.479111,56.975494,125.685539,140.879517,1.929,2362.719971
4/1/2017,66.76635,905.960022,101.696976,152.317963,58.605038,135.693054,140.869705,1.816,2384.199951
5/1/2017,68.112213,964.859985,98.62796,145.03894,62.069038,146.321213,149.803391,1.748,2411.800049
6/1/2017,67.610054,908.72998,100.449615,147.607239,57.131813,148.522461,141.815506,1.885,2423.409912
7/1/2017,71.307861,930.5,105.12886,138.817764,52.889297,151.38559,146.4534,1.832,2470.300049
8/1/2017,73.338219,939.330017,103.617264,137.24411,53.751518,156.098709,161.48967,1.707,2471.649902
9/1/2017,73.452858,959.109985,114.266449,140.682037,52.862316,153.795395,152.356857,1.928,2519.360107
10/1/2017,82.021866,1016.640015,112.700752,149.389816,53.974483,163.837067,167.106186,2.01,2575.26001
11/1/2017,82.998085,1021.409973,115.715446,144.599564,56.907452,168.803894,169.884033,2.144,2584.840088
12/1/2017,84.772621,1046.400024,122.884499,150.25621,56.823044,169.958328,167.895416,2.206,2673.610107
1/1/2018,94.157661,1169.939941,123.041557,160.324219,56.209599,168.990646,166.109604,2.524,2823.810059
2/1/2018,92.928787,1104.72998,109.858879,152.616516,56.496529,155.758957,176.715302,2.65,2713.830078
3/1/2018,90.876106,1031.790039,113.054169,151.745483,57.588856,155.392914,167.135513,2.562,2640.870117
4/1/2018,93.116394,1017.330017,124.028473,143.368484,57.270519,166.383102,164.625183,2.789,2648.050049
5/1/2018,98.413437,1084.98999,123.225471,139.75856,56.375202,158.999985,186.152176,2.664,2705.27002
6/1/2018,98.610001,1115.650024,126.43,139.699997,48.849998,155.700958,185.110001,2.731,2718.370117
7/1/2018,105.370003,1219.73999,127.830002,145.490005,51.900002,158.639999,189.910004,2.85,2802.600098
